file,jsx_strings,attr_strings,total_hardcoded,t_calls
pages/BazarStand.jsx,10,0,10,0
pages/Collectables.jsx,8,2,10,0
pages/LanguageDiagnostics.jsx,10,0,10,3
pages/RoleManagement.jsx,10,0,10,0
pages/WalletManager.jsx,10,0,10,0
components/AdminEconomyCharts.jsx,9,0,9,0
components/UserNotRegisteredError.jsx,9,0,9,0
components/ailab/BotMarketplaceTradeSheet.jsx,6,3,9,0
components/ailab/SwarmCycleAnalyticsDashboard.jsx,9,0,9,0
components/builder/WebsiteGeneratorCodeInjectionPanel.jsx,4,5,9,0
components/dashboard/GasFeeWidget.jsx,9,0,9,0
components/dashboard/WidgetLibrary.jsx,6,3,9,0
components/messages/CreateChatPanel.jsx,7,2,9,0
components/messages/SocialFeed.jsx,5,4,9,0
components/telegram/BotFleetTable.jsx,9,0,9,0
components/telegram/TelegramSwarmSandboxPanel.jsx,7,2,9,0
components/ui/pagination.jsx,3,6,9,0
pages/PhoenixInvestor.jsx,4,5,9,0
components/BiddingHistory.jsx,7,1,8,0
components/BiometricAuth.jsx,8,0,8,0
components/ailab/BotDataSourcesPanel.jsx,6,2,8,0
components/ailab/BotSkillTreePanel.jsx,8,0,8,0
components/ailab/OrchestratorStateBoard.jsx,8,0,8,0
components/ailab/PinnedCards.jsx,6,2,8,0
components/ailab/SquadDeliveryPanel.jsx,8,0,8,0
components/bot-farm/BotFarmSquadPanel.jsx,8,0,8,0
components/cards/ChallengePanel.jsx,7,1,8,0
components/dashboard/DataVisualizer.jsx,8,0,8,0
components/jackie/JackieGamificationPanel.jsx,8,0,8,0
components/jta/JTAFractureEngine.jsx,8,0,8,0
components/markets/AssetComparisonDashboard.jsx,8,0,8,0
components/telegram/BotOverviewCharts.jsx,8,0,8,0
components/telegram/TelegramBotAnalyticsDashboard.jsx,8,0,8,0
components/telegram/TelegramSwarmConfigPanel.jsx,4,4,8,0
components/theme/PageTemplateLibrary.jsx,7,1,8,0
pages/Pipeline.jsx,8,0,8,0
components/CenteredBottomNav.jsx,6,1,7,8
components/SoundSettings.jsx,7,0,7,0
components/ailab/AgentActivityDashboard.jsx,3,4,7,0
components/ailab/CommandCenterHierarchy.jsx,5,2,7,0
components/ailab/SquadFormationBuilder.jsx,5,2,7,0
components/ailab/SquadOptimizationPanel.jsx,7,0,7,0
components/dashboard/PortfolioHealthScore.jsx,7,0,7,0
components/dashboard/SharedDashboardComments.jsx,5,2,7,0
components/dashboard/SharedDashboardPresence.jsx,7,0,7,0
components/dashboard/WidgetRulesPanel.jsx,7,0,7,0
components/jackie/FeedbackPanel.jsx,5,2,7,0
components/jackie/VoiceSelector.jsx,4,3,7,0
components/jta/JTAMonolith.jsx,7,0,7,0
components/messages/TradeNegotiationFeed.jsx,5,2,7,0
pages/AgentOperations.jsx,7,0,7,0
pages/BlockchainAnalytics.jsx,7,0,7,0
pages/EruRedteamTest.jsx,7,0,7,0
pages/JadeAtelier.jsx,7,0,7,0
components/CreatorAnalytics.jsx,6,0,6,0
components/ailab/AdaptiveLearningPanel.jsx,6,0,6,0
components/ailab/BotResourceManagementPanel.jsx,6,0,6,0
components/ailab/LabAnalytics.jsx,6,0,6,0
components/ailab/OrchestratorFeedbackPanel.jsx,6,0,6,0
components/ailab/SquadKnowledgeRecordCard.jsx,2,4,6,0
components/ailab/SquadPerformanceDashboard.jsx,6,0,6,0
components/bot-farm/BotFarmMaintenancePanel.jsx,6,0,6,0
components/builder/WebsiteGeneratorPreview.jsx,6,0,6,0
components/jackie/ConversationSidebar.jsx,5,1,6,0
components/jta/JTAResonanceLog.jsx,6,0,6,0
components/messages/StrategyWorkspace.jsx,5,1,6,0
components/telegram/BotFlowBuilder.jsx,6,0,6,0
components/telegram/TelegramHumanHandoffPanel.jsx,4,2,6,0
components/theme/ThemePresetLibrary.jsx,6,0,6,0
pages/BotFarm.jsx,6,0,6,0
pages/TransactionHistory.jsx,6,0,6,0
components/CollabScratchpad.jsx,5,0,5,0
components/ailab/CollaborationLiveRoom.jsx,4,1,5,0
components/ailab/CollaborationWorkspace.jsx,1,4,5,0
components/ailab/OrchestratorBotSetupPanel.jsx,5,0,5,0
components/ailab/SquadCostPanel.jsx,5,0,5,0
components/ailab/SquadKnowledgeMetrics.jsx,5,0,5,0
components/ailab/SquadTemplateLibrary.jsx,5,0,5,0
components/bot-farm/BotFarmOutputPanel.jsx,5,0,5,0
components/builder/WebsiteGeneratorPanel.jsx,5,0,5,0
components/builder/WebsiteGeneratorSectionLibrary.jsx,5,0,5,0
components/jackie/LanguageMemorySelector.jsx,4,1,5,0
components/portfolio/DiversificationToolsPanel.jsx,5,0,5,0
components/telegram/BotCreationForm.jsx,1,4,5,0
components/telegram/TelegramBotOperationsPanel.jsx,5,0,5,0
pages/SecurityDashboard.jsx,4,1,5,0
components/GlobalSearch.jsx,3,1,4,0
components/WalletConnectBar.jsx,4,0,4,0
components/ailab/BotMarketplaceShell.jsx,4,0,4,0
components/ailab/MemoryBankPanel.jsx,3,1,4,0
components/ailab/ProgrammingMemoryPanel.jsx,3,1,4,0
components/ailab/SemanticMemorySearchPanel.jsx,3,1,4,0
components/ailab/SquadAnalyticsPanel.jsx,4,0,4,0
components/ailab/SquadKnowledgePanel.jsx,3,1,4,0
components/bot-farm/BotFarmRetrievalPanel.jsx,3,1,4,0
